timestamp,machine_id,material_category,material_name,quantity_used_kg,recycled_material,energy_consumption_kwh,production_output_units,defect_rate,energy_intensity_kwh_per_unit,estimated_defective_units,material_efficiency_units_per_kg
2025-05-01 08:00:00,M002,Raw Material,Polypropylene,86.73,0.0,96.74,204,3.38,0.4742156862745098,6.8952,2.352127291594604
2025-05-01 08:05:00,M009,Raw Material,Cotton,54.77,0.0,91.24,338,2.53,0.26994082840236683,8.5514,6.171261639583713
2025-05-01 08:10:00,M001,Hazardous Material,Lead-Based Alloy,157.4,0.0,164.16,529,1.1,0.31032136105860114,5.819000000000001,3.360864040660737
2025-05-01 08:15:00,M010,Process Additive,Industrial Oil,163.82,0.0,99.16,532,1.7,0.18639097744360902,9.044,3.2474667317787818
2025-05-01 08:20:00,M003,Intermediate Material,Plastic Resin,65.33,0.0,125.59,467,4.24,0.26892933618843684,19.800800000000002,7.148323894076229
2025-05-01 08:25:00,M010,Process Additive,Industrial Oil,159.46,0.0,144.35,487,0.39,0.2964065708418891,1.8993,3.0540574438730714
2025-05-01 08:30:00,M005,Finished Material,Packaging,182.82,0.0,123.4,296,3.52,0.4168918918918919,10.4192,1.619078875396565
2025-05-01 08:35:00,M001,Finished Material,Circuit Board,165.96,0.0,198.23,975,1.16,0.2033128205128205,11.31,5.874909616775127
2025-05-01 08:40:00,M002,Recycled Material,Reprocessed Plastics,118.01,41.71,99.52,463,1.05,0.2149460043196544,4.8615,3.923396322345564
2025-05-01 08:45:00,M005,Finished Material,Packaging,147.21,0.0,153.1,275,2.67,0.5567272727272727,7.3425,1.868079614156647
2025-05-01 08:50:00,M004,Intermediate Material,Plastic Resin,106.92,0.0,198.74,755,3.44,0.26323178807947023,25.971999999999998,7.061354283576506
2025-05-01 08:55:00,M004,Finished Material,Machine Component,176.43,0.0,173.12,334,4.11,0.5183233532934132,13.7274,1.8931020801451
2025-05-01 09:00:00,M006,Recycled Material,Reprocessed Plastics,59.93,45.66,148.06,835,1.57,0.17731736526946107,13.1095,13.932921742032372
2025-05-01 09:05:00,M008,Recycled Material,Reprocessed Plastics,71.43,6.98,169.4,651,1.31,0.2602150537634409,8.5281,9.113817723645527
2025-05-01 09:10:00,M010,Recycled Material,Reprocessed Plastics,104.3,49.87,96.6,605,0.45,0.1596694214876033,2.7225,5.8005752636625125
2025-05-01 09:15:00,M001,Raw Material,Aluminum,144.12,0.0,175.05,532,2.98,0.3290413533834587,15.853599999999998,3.6913683041909517
2025-05-01 09:20:00,M007,Recycled Material,Reprocessed Plastics,129.37,48.55,183.29,111,3.4,1.6512612612612612,3.7739999999999996,0.8580041740743604
2025-05-01 09:25:00,M002,Finished Material,Packaging,162.63,0.0,172.23,448,0.56,0.38444196428571425,2.5088000000000004,2.7547193014818916
2025-05-01 09:30:00,M007,Intermediate Material,Plastic Resin,50.49,0.0,166.65,836,1.32,0.1993421052631579,11.0352,16.55773420479303
